Wall time,Step,Value
1771640215.2934475,2388000,-788.4769897460938
1771640475.7858288,2416000,-768.1287841796875
1771640666.3194978,2436000,-787.2510986328125
1771640855.5781784,2456000,-796.6212768554688
1771640893.0150738,2460000,-803.5181884765625
1771641196.3637645,2492000,-763.1375732421875
1771641232.9221497,2496000,-762.6915893554688
1771641343.94174,2508000,-738.6234130859375
1771641419.0705884,2516000,-733.8494873046875
1771641458.0101757,2520000,-737.17431640625
1771641607.0686655,2536000,-735.663818359375
1771641757.0673199,2552000,-769.8754272460938
1771641983.4327092,2576000,-754.4453735351562
1771642020.7622483,2580000,-763.7584228515625
1771642212.6106093,2600000,-783.2252197265625
1771642285.5843947,2608000,-757.1845092773438
1771642436.7771375,2624000,-705.5228271484375
1771642551.0956347,2636000,-726.837890625
1771642628.7426946,2644000,-725.6832275390625
1771642894.1213315,2672000,-726.4854125976562
1771643005.8756032,2684000,-762.0808715820312
1771643195.4393647,2704000,-713.2636108398438
1771643232.892029,2708000,-714.3466796875
1771643384.6759577,2724000,-716.1400756835938
1771643536.4055922,2740000,-729.5573120117188
1771643838.3382623,2772000,-735.430419921875
1771643914.3209343,2780000,-747.0485229492188
1771643990.6026924,2788000,-719.7733764648438
1771644027.0224378,2792000,-711.5830078125
1771644219.1894457,2812000,-701.6026000976562
1771644522.753515,2844000,-728.2286987304688
1771644708.8150308,2864000,-729.176025390625
1771644936.5851426,2888000,-668.4342041015625
1771645010.2696629,2896000,-700.7515869140625
1771645088.0092874,2904000,-699.4630126953125
1771645125.315478,2908000,-713.3955078125
1771645201.4805074,2916000,-734.1287841796875
1771645239.1661901,2920000,-745.9177856445312
1771645314.0948284,2928000,-745.450927734375
1771645352.6525757,2932000,-712.8850708007812
1771645388.9322078,2936000,-712.6541137695312
1771645582.0397556,2956000,-694.6937866210938
1771645808.3932014,2980000,-659.5986938476562
1771646565.1821632,3060000,-677.888916015625
1771646605.306812,3064000,-698.017578125
1771646869.5292068,3092000,-660.8137817382812
1771646984.8947504,3104000,-667.2015991210938
1771647023.9951088,3108000,-653.8790893554688
1771647100.1211152,3116000,-625.7346801757812
1771647175.2671561,3124000,-633.472900390625
1771647249.7869678,3132000,-667.3712768554688
1771647481.2928104,3156000,-657.79638671875
1771648089.6186938,3220000,-670.8742065429688
1771648128.2258966,3224000,-658.7479858398438
1771648201.756515,3232000,-637.8555908203125
1771648315.7558734,3244000,-639.898681640625
1771648620.2601109,3276000,-624.9500122070312
1771648660.4101791,3280000,-639.0042724609375
1771649002.1955879,3316000,-618.5191040039062
