Wall time,Step,Value
1771624964.3704824,760000,-1219.588623046875
1771624998.5567398,764000,-1220.7628173828125
1771625037.5264938,768000,-1219.136962890625
1771625072.8565798,772000,-1202.6995849609375
1771625109.1954088,776000,-1193.971435546875
1771625145.8058534,780000,-1186.816650390625
1771625182.4304497,784000,-1196.651123046875
1771625217.5070076,788000,-1184.8095703125
1771625252.9286559,792000,-1192.1112060546875
1771625289.4286697,796000,-1183.2347412109375
1771625326.109644,800000,-1198.754638671875
1771625362.9548235,804000,-1191.6229248046875
1771625400.1567647,808000,-1169.7962646484375
1771625436.7801354,812000,-1167.414306640625
1771625472.5911727,816000,-1167.845947265625
1771625511.0227537,820000,-1143.564453125
1771625547.6553056,824000,-1134.6895751953125
1771625582.8593106,828000,-1154.70166015625
1771625619.2868648,832000,-1179.4542236328125
1771625654.7740953,836000,-1168.0487060546875
1771625691.7160616,840000,-1185.0701904296875
1771625728.668382,844000,-1173.89306640625
1771625764.1807206,848000,-1183.8592529296875
1771625800.0487397,852000,-1170.4923095703125
1771625836.8692722,856000,-1188.30322265625
1771625875.3721166,860000,-1173.408447265625
1771625912.2995493,864000,-1178.7008056640625
1771625947.0184665,868000,-1183.3359375
1771625984.9535072,872000,-1161.2822265625
1771626021.0382802,876000,-1166.3470458984375
1771626055.5597167,880000,-1197.2418212890625
1771626092.9366934,884000,-1159.7607421875
1771626127.6498306,888000,-1155.3818359375
1771626166.0282156,892000,-1152.5751953125
1771626200.6954377,896000,-1148.689453125
1771626236.4273741,900000,-1155.504638671875
1771626273.6300023,904000,-1153.354736328125
1771626311.3173156,908000,-1150.57568359375
1771626349.8156722,912000,-1161.357666015625
1771626387.4733658,916000,-1134.2652587890625
1771626422.4698281,920000,-1119.9901123046875
1771626458.9595292,924000,-1119.4619140625
1771626496.6672637,928000,-1138.7196044921875
1771626532.6784735,932000,-1130.10302734375
1771626570.3212044,936000,-1145.8299560546875
1771626606.4319704,940000,-1145.1805419921875
1771626645.2770438,944000,-1152.001220703125
1771626682.3755815,948000,-1141.4852294921875
1771626721.5787294,952000,-1134.0360107421875
1771626760.7524045,956000,-1145.4921875
1771626797.6621776,960000,-1138.814453125
1771626833.9976559,964000,-1129.427490234375
1771626870.43819,968000,-1119.547119140625
1771626909.5020509,972000,-1104.568359375
1771626947.0013616,976000,-1093.981201171875
1771626983.4612226,980000,-1115.8502197265625
1771627022.5382478,984000,-1132.2274169921875
1771627058.668925,988000,-1156.1575927734375
1771627097.4159806,992000,-1184.87646484375
1771627134.978473,996000,-1201.377197265625
1771627171.4594595,1000000,-1187.55078125
1771627209.1647093,1004000,-1177.8697509765625
1771627247.2856464,1008000,-1155.49755859375
1771627283.8709786,1012000,-1144.097412109375
1771627320.3811533,1016000,-1126.2691650390625
1771627359.4861288,1020000,-1126.504638671875
1771627395.7223144,1024000,-1112.9793701171875
1771627431.924964,1028000,-1118.3660888671875
1771627470.722952,1032000,-1108.8897705078125
1771627508.6111567,1036000,-1100.9111328125
1771627547.003024,1040000,-1115.4140625
1771627582.4700544,1044000,-1131.5428466796875
1771627619.7422729,1048000,-1152.1219482421875
1771627658.4021423,1052000,-1173.318603515625
1771627694.7076652,1056000,-1170.4173583984375
1771627732.7256575,1060000,-1164.7381591796875
1771627770.3295832,1064000,-1137.4271240234375
1771627806.4888954,1068000,-1135.0009765625
1771627841.5945957,1072000,-1113.805908203125
1771627880.447625,1076000,-1121.09033203125
1771627914.348142,1080000,-1125.321533203125
1771627951.1230428,1084000,-1112.26806640625
1771627989.4144597,1088000,-1117.3017578125
1771628027.5361552,1092000,-1097.008056640625
1771628066.4102926,1096000,-1102.5462646484375
1771628102.49124,1100000,-1107.7916259765625
1771628139.0852811,1104000,-1115.8472900390625
1771628176.8942568,1108000,-1104.7156982421875
1771628215.389468,1112000,-1149.2293701171875
1771628251.5656366,1116000,-1150.0069580078125
1771628287.8869092,1120000,-1152.734619140625
1771628324.2611108,1124000,-1133.551025390625
1771628363.1026309,1128000,-1108.0662841796875
1771628400.917193,1132000,-1088.227783203125
1771628437.2369542,1136000,-1085.7125244140625
1771628476.7587843,1140000,-1084.416748046875
1771628514.2887793,1144000,-1103.347900390625
1771628551.5731764,1148000,-1112.4276123046875
1771628589.4127762,1152000,-1115.716796875
1771628628.8488467,1156000,-1091.83984375
1771628666.5745661,1160000,-1098.12109375
1771628702.6866236,1164000,-1100.1654052734375
1771628742.3313768,1168000,-1087.9967041015625
1771628778.8147664,1172000,-1078.33447265625
1771628816.4836392,1176000,-1049.8707275390625
1771628852.9510593,1180000,-1055.7298583984375
1771628892.1488647,1184000,-1053.925048828125
1771628930.0564446,1188000,-1054.848388671875
1771628966.3320284,1192000,-1063.754638671875
1771629002.2554476,1196000,-1077.376708984375
1771629042.319271,1200000,-1076.979248046875
1771629079.335029,1204000,-1061.1900634765625
1771629115.387605,1208000,-1066.1302490234375
1771629154.1617181,1212000,-1080.439208984375
1771629191.7038913,1216000,-1066.3978271484375
1771629226.9519908,1220000,-1058.3321533203125
1771629264.3426645,1224000,-1062.5086669921875
1771629300.5519,1228000,-1084.7237548828125
1771629338.4441102,1232000,-1086.36474609375
1771629376.157327,1236000,-1074.5643310546875
1771629412.5774145,1240000,-1100.610107421875
1771629450.4150527,1244000,-1099.34326171875
1771629488.5601382,1248000,-1092.953857421875
1771629526.3374496,1252000,-1111.7078857421875
1771629563.3674421,1256000,-1110.14111328125
1771629602.6083632,1260000,-1075.15869140625
1771629640.5173068,1264000,-1078.4007568359375
1771629677.0292087,1268000,-1077.8193359375
1771629715.820249,1272000,-1094.9066162109375
1771629751.8894155,1276000,-1108.36962890625
1771629788.236095,1280000,-1116.9886474609375
1771629825.725656,1284000,-1111.276123046875
1771629863.3792017,1288000,-1116.560791015625
1771629899.700475,1292000,-1084.97314453125
1771629937.530638,1296000,-1057.155029296875
1771629975.252689,1300000,-1065.8895263671875
1771630012.6137276,1304000,-1063.96875
1771630050.5804017,1308000,-1061.2054443359375
1771630088.0060384,1312000,-1053.8270263671875
1771630124.5265849,1316000,-1060.377197265625
1771630162.266436,1320000,-1051.93603515625
1771630199.7130992,1324000,-1027.8665771484375
1771630236.392732,1328000,-1023.7958984375
1771630276.5972247,1332000,-1051.271240234375
1771630313.4199107,1336000,-1046.3155517578125
1771630351.3609216,1340000,-1053.4134521484375
1771630387.5256398,1344000,-1057.718994140625
1771630425.4605877,1348000,-1061.470947265625
1771630463.2272987,1352000,-1061.6707763671875
1771630500.674974,1356000,-1075.3577880859375
1771630536.643603,1360000,-1079.4737548828125
1771630574.8275824,1364000,-1075.4161376953125
1771630613.5905235,1368000,-1057.0245361328125
1771630651.3821495,1372000,-1037.7412109375
1771630688.093858,1376000,-1017.2399291992188
1771630725.581246,1380000,-1008.5527954101562
1771630761.9255579,1384000,-1005.6046752929688
1771630799.04666,1388000,-1006.5125122070312
1771630834.1278524,1392000,-1003.0162963867188
1771630871.4809985,1396000,-998.05517578125
1771630911.320184,1400000,-986.4918823242188
1771630946.4247632,1404000,-991.0509033203125
1771630984.0264428,1408000,-993.7047119140625
1771631020.4599419,1412000,-994.8637084960938
1771631059.6617398,1416000,-991.0067138671875
1771631097.6757388,1420000,-1012.875
1771631134.3731074,1424000,-1002.9475708007812
1771631174.2413926,1428000,-984.2393188476562
1771631212.2162976,1432000,-1002.9248046875
1771631247.3625562,1436000,-1000.208984375
1771631284.8316703,1440000,-986.5275268554688
1771631325.444367,1444000,-992.3157958984375
1771631361.7874355,1448000,-1005.047607421875
1771631396.3858275,1452000,-1007.184814453125
1771631434.9599268,1456000,-1020.1508178710938
1771631473.9553585,1460000,-1022.1309204101562
1771631509.5034926,1464000,-1003.8489990234375
1771631545.5384183,1468000,-979.290771484375
1771631581.9863095,1472000,-970.7830810546875
1771631622.476293,1476000,-975.0335083007812
1771631658.8986838,1480000,-959.0089721679688
1771631695.9534059,1484000,-976.184814453125
1771631734.7418199,1488000,-987.2520141601562
1771631772.592945,1492000,-975.2681884765625
