trans_idx,has_right_lane,has_left_lane,driving_in_weaving,dist_to_onramp,dist_to_offramp,leader_gap,leader_relatif_s,follower_gap,follower_relatif_s,left_leader_gap,left_leader_relatif_s,left_follower_gap,left_follower_relatif_s,right_leader_gap,right_leader_relatif_s,right_follower_gap,right_follower_relatif_s,action,reward,done,next_has_right_lane,next_has_left_lane,next_driving_in_weaving,next_dist_to_onramp,next_dist_to_offramp,next_leader_gap,next_leader_relatif_s,next_follower_gap,next_follower_relatif_s,next_left_leader_gap,next_left_leader_relatif_s,next_left_follower_gap,next_left_follower_relatif_s,next_right_leader_gap,next_right_leader_relatif_s,next_right_follower_gap,next_right_follower_relatif_s
10030955,1.0,1.0,1.0,-2.0,-2.0,0.23,-0.09,0.63,-0.08,0.08,-0.08,0.25,-0.08,0.49,-0.01,0.41,-0.03,1,-0.2,False,1.0,1.0,1.0,-2.0,-2.0,0.26,-0.07,0.61,-0.06,0.1,-0.06,0.23,-0.06,0.49,0.02,0.41,-0.01
10030959,1.0,1.0,1.0,-2.0,-2.0,0.26,-0.07,0.61,-0.06,0.1,-0.06,0.23,-0.06,0.49,0.02,0.41,-0.01,2,-1.19,False,1.0,0.0,1.0,-2.0,-2.0,0.12,-0.05,0.21,-0.05,-2.0,-2.0,-2.0,-2.0,0.27,-0.05,0.6,-0.05
10030963,1.0,0.0,1.0,-2.0,-2.0,0.12,-0.05,0.21,-0.05,-2.0,-2.0,-2.0,-2.0,0.27,-0.05,0.6,-0.05,1,-0.27,False,1.0,0.0,1.0,-2.0,-2.0,0.16,-0.13,0.2,-0.04,-2.0,-2.0,-2.0,-2.0,0.32,-0.13,0.55,-0.13
10030967,1.0,0.0,1.0,-2.0,-2.0,0.16,-0.13,0.2,-0.04,-2.0,-2.0,-2.0,-2.0,0.32,-0.13,0.55,-0.13,1,-0.25,False,1.0,0.0,1.0,-2.0,-2.0,0.19,-0.11,0.22,0.05,-2.0,-2.0,-2.0,-2.0,0.35,-0.11,0.54,-0.04
10030971,1.0,0.0,1.0,-2.0,-2.0,0.19,-0.11,0.22,0.05,-2.0,-2.0,-2.0,-2.0,0.35,-0.11,0.54,-0.04,1,-0.23,False,1.0,0.0,1.0,-2.0,-2.0,0.22,-0.08,0.24,0.07,-2.0,-2.0,-2.0,-2.0,0.38,-0.07,0.29,-0.12
10030975,1.0,0.0,1.0,-2.0,-2.0,0.22,-0.08,0.24,0.07,-2.0,-2.0,-2.0,-2.0,0.38,-0.07,0.29,-0.12,1,-0.22,False,1.0,0.0,1.0,-2.0,-2.0,0.23,-0.04,0.26,0.06,-2.0,-2.0,-2.0,-2.0,0.38,-0.01,0.25,-0.12
10030979,1.0,0.0,1.0,-2.0,-2.0,0.23,-0.04,0.26,0.06,-2.0,-2.0,-2.0,-2.0,0.38,-0.01,0.25,-0.12,1,-0.23,False,1.0,0.0,1.0,-2.0,-2.0,0.23,0.01,0.28,0.04,-2.0,-2.0,-2.0,-2.0,0.36,0.06,0.25,-0.01
10030983,1.0,0.0,1.0,-2.0,-2.0,0.23,0.01,0.28,0.04,-2.0,-2.0,-2.0,-2.0,0.36,0.06,0.25,-0.01,1,-0.26,False,1.0,0.0,1.0,-2.0,-2.0,0.22,0.04,0.27,-0.01,-2.0,-2.0,-2.0,-2.0,0.32,0.11,0.24,-0.03
10030987,1.0,0.0,1.0,-2.0,-2.0,0.22,0.04,0.27,-0.01,-2.0,-2.0,-2.0,-2.0,0.32,0.11,0.24,-0.03,1,-0.32,False,1.0,0.0,1.0,-2.0,-2.0,0.2,0.06,0.26,-0.05,-2.0,-2.0,-2.0,-2.0,0.28,0.12,0.22,-0.06
10030991,1.0,0.0,1.0,-2.0,-2.0,0.2,0.06,0.26,-0.05,-2.0,-2.0,-2.0,-2.0,0.28,0.12,0.22,-0.06,1,-0.39,False,1.0,0.0,1.0,-2.0,-2.0,0.18,0.05,0.23,-0.08,-2.0,-2.0,-2.0,-2.0,0.25,0.11,0.2,-0.07
